Paivamaara,Kohdenumero,Kaupunki,Kaupunginosa,Osoite,Kunto,Asumistyyppi,Uudiskohde,Tontin_omistus,Vuokratontin_lunastusosuus,Velaton_hinta,Yhtiovastike,Hoitovastike,Rahoitusvastike,Tontin_vuokravastike,Asuinpinta_ala,Huoneita,Kerros,Korkein_kerros,Parveke,Sauna,Ranta,Rakennusvuosi,Energialuokka,Huoneistojen_lukumaara,Tulevat_remontit,Tehdyt_remontit,Latitude,Longitude,Coordinates,TravelTime
2023-03-02,20758740.0,Helsinki,Vallila,"Teollisuuskatu 20 B, 00520 Helsinki",Hyvä,Omistus,Ei,Oma,,370000.0,819.8,171.6,648.2,,44.0,2.0,5.0,5.0,,,,2015.0,C2013,63.0,"Yhteisten alueiden pihavalaistuksen parannussuunnittelu, ilmanvaihtokanavien koneellinen puhdistus ja ilmamäärien säätö 2022-2023, 10-vuotisvastuukorjausten asiantuntijatarkastus + kuntoarvio ja PTS 2024-2025","TALOYHTIÖSSÄ: YIT tehnyt takuukorjauksia, sähköautojen latausinfra rakennettu 2021",60.194977,24.944465,"60.194977, 24.944465",20.0
2023-03-02,21871368.0,Helsinki,Pitäjänmäki,"Strömbergintie 8 F, 00380 Helsinki",Tyydyttävä,Omistus,Ei,Oma,,239000.0,165.3,165.3,,,47.5,2.0,2.0,5.0,Kyllä,,,2001.0,E2013,168.0,"Kattojen kuntotutkimuksen seurantatutkimus, kattojen korjaukset kuntotutkimuksen mukaan 2026, valaistuksen uusiminen LED-lamppuihin, pihan kiveysten korjauksia","TALOYHTIÖSSÄ: Leikkipaikan tekonurmen rakentaminen 2012, B-portaan hissin koneiston uusiminen 2013, A-portaan hissin koneiston uusiminen, julkisivusaumaukset 2015, porrashuoneiden maalaukset 2017, pysäköintialueen aitojen uusiminen, D-portaan pyöräsuojan lukitusmuutokset sekä kameravalvonta palveluna 2018, lämmönvaihtimet 2019, B- ja C-saunojen, pesuhuoneiden ja pukuhuoneiden pintaremontit 2019, 6 kpl sähköautojen latauspaikkaoja 2021 sekä muita pienempiä korjauksia, kysy lisää välittäjältä",60.220678,24.864217,"60.220678, 24.864217",26.0
2023-03-02,17180268.0,Vantaa,Myyrmäki,"Korutie 2, 01600 Vantaa",Hyvä,Omistus,Kyllä,Oma,,211058.4,262.8,120.0,142.8,,30.0,2.0,5.0,8.0,Kyllä,Ei,,2023.0,A2018,,,,60.258907,24.857259,"60.258907, 24.857259",28.0
2023-03-02,17180264.0,Vantaa,Myyrmäki,"Korutie 2, 01600 Vantaa",Hyvä,Omistus,Kyllä,Oma,,298585.56,422.02,220.0,202.02,,55.0,3.0,3.0,8.0,Kyllä,Kyllä,,2023.0,A2018,,,,60.258907,24.857259,"60.258907, 24.857259",28.0
2023-03-02,17180261.0,Vantaa,Myyrmäki,"Korutie 2, 01600 Vantaa",Hyvä,Omistus,Kyllä,Oma,,283066.56,364.72,196.0,,,49.0,3.0,6.0,8.0,Kyllä,Ei,,2023.0,A2018,,,,60.258907,24.857259,"60.258907, 24.857259",28.0
2023-03-02,17180229.0,Helsinki,Pasila,"Kollikatu 4 B, 00240 Helsinki",Hyvä,Omistus,Kyllä,,,282869.34,489.58,356.2,133.38,,52.0,3.0,1.0,7.0,Kyllä,Ei,,2023.0,B2018,,,,60.21999,24.930411,"60.21999, 24.930411",26.0
2023-03-02,1341527.0,Vantaa,Hakunila,"Kaskelantie 10 A 18, 01200 Vantaa",Uusi,Omistus,Kyllä,Oma,,242800.0,761.01,205.0,556.01,,50.0,3.0,3.0,7.0,Kyllä,Ei,,,B2018,46.0,,,60.282625,25.096429,"60.282625, 25.096429",37.0
2023-03-02,,Espoo,Espoon keskus,"Segersveninkatu 8, 02770 Espoo",Hyvä,Omistus,Kyllä,Vuokralla,,174903.0,313.49,220.5,92.99,,31.5,2.0,3.0,6.0,Kyllä,Ei,,2023.0,B2018,,,,60.20432,24.663066,"60.20432, 24.663066",36.0
2023-03-02,,Espoo,Vermonniitty,"Anna Sahlsténin katu 6, 02600 Espoo",Hyvä,Omistus,Kyllä,Vuokralla,,240005.0,549.15,386.75,162.4,,45.5,2.0,8.0,8.0,Kyllä,Kyllä,,2023.0,B2018,,,,60.212985,24.827897,"60.212985, 24.827897",36.0
2023-03-02,,Espoo,Kera,"Nihtisillankuja 2, 02630 Espoo",Erinomainen,Omistus,Kyllä,Vuokralla,,188353.0,375.92,244.55,131.37,,33.5,2.0,4.0,6.0,Kyllä,Ei,,2023.0,B2018,,,,60.208992,24.758978,"60.208992, 24.758978",35.0
2023-03-02,17180067.0,Espoo,Kilo,"Nihtisillankuja 2, 02630 Espoo",Erinomainen,Omistus,Kyllä,Vuokralla,,282737.0,606.0,408.8,197.2,,56.0,3.0,4.0,6.0,Kyllä,Kyllä,,2023.0,B2018,,,,60.208992,24.758978,"60.208992, 24.758978",35.0
2023-03-02,20036232.0,Espoo,Tapiola,"Tornitaso 1 A, 02120 Espoo",Tyydyttävä,Omistus,Ei,Oma,,259000.0,282.1,281.1,,,45.5,2.0,4.0,9.0,,,,1961.0,F2018,50.0,"Taloyhtiön kunnossapito- ja korjaussuunnitelma vuosille 2022–2031:
Kunnossapitosuunnitelma vuosille 2023–2025: 
Palovaroitinjärjestelmän selvitys n. 500 e.
Palovaroitinjärjestelmän uusiminen 7 000 e.
Julkisivujen puuritilöiden huoltomaalaus.
Energiatodistuksen uusiminen 1 000 e.
Jäte- ja sadeveden piha- ja pohjaviemärien painehuuhtelu 3 500 e.
Energiakartoitus toteutus 2023 kustannusarvio 4 700 e.
YHTEENSÄ 2022-2025 Alustava arvio 16 700 e.

Kunnossapitosuunnitelma vuosille 2026–2030:
Jäte- ja sadeveden piha- ja pohjaviemärien painehuuhtelu 3 500 e.
IV-nuohous ja säätö Suoritettava 5-10v välein 4 000 e.
Ikkunoiden (360 kpl) ja parvekeovien (7 kpl) huoltomaalaus 75 000 e.
Julkisivujen puuritilöiden huoltomaalaus tarvittaessa.
YHTEENSÄ 2026-2030 Alustava arvio 82 500 e.
","TALOYHTIÖSSÄ: Taloyhtiön kunnossapito- ja korjaussuunnitelma, Korjaushistoria:
1989: Liittyminen DNA-kaapeliverkkoon 
1999: Ikkunoiden ja parvekeovien huoltomaalaus, pihan päävesijohdon uusiminen 
2003: Asfaltointien uusiminen, parvekkeiden peruskorjaus, kattorakenteiden peruskorjaus 
2008: Energiatodistuksen laatiminen 
2009-2010: Hissien uusiminen, saunaosaston peruskorjaus, vesi- ja viemärijohtojen uusiminen, 
sähköliittymän, sähköpääkeskuksen, sähkönousujohtojen ja ryhmäkeskusten uusiminen,
antenniverkon uusiminen (tähti 2000) ja tietoverkon rakentaminen, kaikkien kylpyhuoneiden ja wc-tilojen peruskorjaus 
2010: Lämmönvaihtimen uusiminen, patteriventtiilien uusiminen ja lämmitysverkoston säätö 
Ilmanvaihtojärjestelmien puhdistus ja säätö, palovaroitinjärjestelmän asennus yleisiin tiloihin 
2011: Lukituksen uusiminen (suojattu Abloy Sento, porrashuoneiden huoltomaalaus ja ilmoitustaulujen uusiminen 
2012–2013: Julkisivujen kunnostuksen hankesuunnittelu 
2013: Vesikatteiden uusiminen (peltikate), pelastussuunnitelman uusiminen, 10 vuoden energiatodistuksen laatiminen (vanhan lain mukainen) 
2015: Peltikatteiden maalaus, ylimmän kerroksen ikkunoiden uusiminen (puu-alumiini), puuikkunoiden ja parvekeovien peruskorjaus, näkyvien sokkelipintojen kunnostus ja maalaus, 
julkisivujen huoltomaalaus, asukaskysely 
2016: Pihaterassien uusiminen, 2 kpl, huoneistokohtaisen laajakaistan hankkiminen (DNA 10 M)
2018: Kotihoidon avausjärjestelmän asennus porrashuoneen ulko-oveen (Tunstall), jäte- ja sadeveden piha- ja pohjaviemärien painehuuhtelu, automaattisen ilmanpoistajan hankkiminen lämmitysjärjestelmään, pienemmän hissin ohjauskortin uusiminen 
2019: Toisen saunaosaston rakentaminen ullakolle, matkapuhelintilauksen ja -maksun hankkiminen ullakkosaunaan 
2020: Vesikaton kuntoarvio 
2021: Vesikaton pienkorjaukset. IV-läpiviennin kerminoston yläpään korjaus (Kattokuntoarvion 
välittömät toimenpidesuositukset), yläsaunan kiukaan ohjauksen ja varausjärjestelmän korjaus 
2022: IV nuohous ja tasapainotus

Varsinainen vuosittainen yhtiökokous on pidetty 23.11.2022.",60.174856,24.794927,"60.174856, 24.794927",28.0
